,City,Country,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
436,Leshukonskoye,RU,52.44,64.9,45.76,79,0,4.32
437,Qasigiannguit,GL,35.6,68.82,-51.19,100,20,3.76
438,Yar-Sale,RU,44.43,66.83,70.83,100,80,17.63
439,Abu Dhabi,AE,91.4,24.47,54.37,43,0,14.99
440,Sitka,US,64.23,37.17,-99.65,80,0,12.03
441,Laibin,CN,86.01,23.74,109.23,75,8,4.09
442,Buin,CL,55.4,-33.73,-70.74,58,0,3.36
443,Aylmer,CA,55.4,42.77,-80.98,100,90,6.93
444,Comodoro Rivadavia,AR,57.2,-45.87,-67.48,35,0,10.29
445,Pierre,US,69.08,44.37,-100.35,86,1,12.75
446,Khorinsk,RU,50.01,52.16,109.78,99,92,4.43
447,Isla Vista,US,58.96,34.41,-119.86,87,1,3.36
448,Porto Nacional,BR,69.9,-10.7,-48.41,49,0,5.1
449,Qiyang,CN,80.34,26.59,111.85,74,32,5.44
450,Honiara,SB,84.2,-9.43,159.96,79,20,8.05
451,Ushibuka,JP,82.68,32.19,130.02,82,44,4.09
452,Piacabucu,BR,71.43,-10.41,-36.43,87,68,6.22
453,Tazovskiy,RU,41.28,67.47,78.7,81,8,8.68
454,Cochrane,CL,26.97,-47.25,-72.57,99,24,1.97
455,Nishihara,JP,74.79,35.74,139.53,64,75,8.05
456,Mahon,IE,53.6,51.89,-8.4,93,75,6.93
457,Coihaique,CL,43.36,-45.58,-72.07,81,90,9.17
458,Abapo,BO,69.81,-18.83,-63.47,58,24,2.08
459,Kysyl-Syr,RU,45.6,63.9,122.77,54,0,4.65
460,Ulladulla,AU,71.6,-35.36,150.48,49,0,11.41
461,Alenquer,BR,75.2,-1.95,-54.74,94,40,2.24
462,Pontes e Lacerda,BR,68.19,-15.23,-59.33,67,0,2.98
463,Mayumba,GA,73.68,-3.44,10.65,99,80,7.78
464,Herat,AF,78.8,34.35,62.22,21,0,3.65
465,Pozo Colorado,PY,70.62,-23.49,-58.8,55,0,8.23
466,Ambunti,PG,83.76,-4.22,142.82,81,36,2.64
467,Methoni,GR,66.2,36.82,21.7,77,20,7
468,Gorom-Gorom,BF,69.36,14.45,-0.24,96,44,3.2
469,Okha,RU,59.73,53.59,142.95,59,12,13.38
470,Shenjiamen,CN,77.46,29.96,122.3,100,92,17.85
471,Savelugu,GH,71.34,9.63,-0.83,99,88,2.08
472,Dryden,CA,57.2,49.79,-92.84,71,1,5.82
473,Marawi,PH,76.92,8,124.29,83,64,4.21
474,Nianzishan,CN,74.31,47.51,122.88,69,24,17.52
475,Manggar,ID,81.87,-2.88,108.27,100,8,8.57
476,Ca Mau,VN,83.76,9.18,105.15,85,68,15.5
477,Perth,GB,55.36,56.4,-3.43,82,40,25.28
478,Dubti,ET,93.93,11.74,41.09,23,0,5.99
479,Ust-Tsilma,RU,50.82,65.44,52.15,86,0,5.99
480,Soledade,BR,65.04,-7.06,-36.37,91,0,9.8
481,Long Beach,US,75.63,30.35,-89.15,90,1,3.36
482,Mwene-Ditu,CD,70.98,-7.01,23.45,88,8,4.54
483,Bhindar,PK,84.2,32.5,74.45,66,20,4.7
484,Itoman,JP,85.96,26.12,127.67,58,75,10.29
485,Kouango,CF,72.78,4.99,19.98,92,80,4.65
486,Pendleton,US,71.29,34.65,-82.78,100,75,4.7
487,Ati,TD,77.55,13.21,18.34,84,8,5.1
488,Melilla,EC,71.6,-0.8,-80.23,88,75,6.93
489,Yekaterinoslavka,RU,46.59,54.34,72.46,59,0,9.24
490,Aktau,KZ,78.8,43.65,51.16,15,0,17.9
491,Nanlong,CN,72.69,31.35,106.05,71,92,4.32
492,Nioro,GM,73.59,13.79,-15.05,100,92,4.99
493,Vestmanna,FO,48.2,62.16,-7.17,100,88,2.24
494,Inhambane,MZ,64.4,-23.87,35.38,77,20,10.47
495,Brae,GB,52.83,60.4,-1.35,87,75,4.7
496,Tabuny,RU,47.94,52.78,78.79,66,44,14.72
497,Ouango,CD,68.46,4.31,22.55,100,92,2.42
498,Plastun,RU,63.69,44.76,136.29,49,0,0.96
499,Charcas,MX,56.31,23.13,-101.11,99,92,3.76
500,Iralaya,HN,80.16,15,-83.23,95,68,6.11
501,Nuuk,GL,39.2,64.17,-51.74,80,92,13.87
502,Tamale,GH,71.34,9.4,-0.84,99,88,2.08
503,Souris,CA,57.2,46.36,-62.25,71,75,10.29
504,Jambi,ID,87.63,-1.6,103.62,64,76,5.55
505,Boysun,UZ,77.55,38.2,67.2,22,0,1.97
506,Khandbari,NP,47.67,27.38,87.21,69,68,0.74
507,Burnie,AU,57.03,-41.05,145.91,88,8,16.06
508,Shahreza,IR,80.34,32.01,51.87,20,0,3.42
509,Rio Pomba,BR,52.71,-21.28,-43.18,94,24,3.42
510,Lyskovo,RU,57.66,56.03,45.04,60,0,8.57
511,Lazaro Cardenas,MX,61.44,28.39,-105.62,56,0,4.43
512,Anchorage,US,54.16,61.22,-149.89,68,1,2.86
513,Broome,GB,61.48,52.47,1.45,82,0,13.87
514,Palpa,PE,42.18,-14.53,-75.19,61,0,2.19
515,Kedougou,SN,71.34,12.56,-12.19,97,92,2.98
516,Ancud,CL,49.65,-41.87,-73.83,98,88,7.56
517,Severo-Yeniseyskiy,RU,45.96,60.37,93.04,77,36,5.77
518,Rawson,AR,54.24,-43.3,-65.11,63,20,16.73
519,Balyaga,RU,47.67,51.15,108.93,100,92,6.89
520,Abbeville,FR,58.78,50.11,1.83,82,90,11.41
521,Parrita,CR,66.2,9.52,-84.33,93,0,3.36
522,Montepuez,MZ,70.35,-13.13,39,71,68,12.37
523,Deputatskiy,RU,33.9,69.3,139.9,92,92,18.3
524,Nola,CF,68.91,3.52,16.05,99,88,2.64
525,Diego de Almagro,CL,49.38,-26.39,-70.05,80,0,2.19
526,Portland,US,59.25,45.52,-122.67,77,75,3.36
527,Cartagena del Chaira,CO,74.49,1.33,-74.84,83,20,2.53
528,Liverpool,GB,55.4,53.41,-2.98,100,75,16.11
529,Kotelnikovo,RU,74.13,47.63,43.14,32,88,8.34
530,Santa Isabel,CO,58.47,4.71,-75.1,96,20,1.41
531,Vanimo,PG,81.87,-2.67,141.3,100,8,0.63
532,Mogadishu,SO,77.01,2.04,45.34,100,92,11.25
533,Tacna,PE,58.33,-18.01,-70.25,87,90,4.7
534,Atar,MR,81.69,20.52,-13.05,40,20,4.21
535,Margate,AU,66.2,-43.03,147.26,45,75,16.11
536,Vila Franca do Campo,PT,71.6,37.72,-25.43,94,75,5.82
537,Camacha,PT,70.81,33.08,-16.33,77,40,8.05
538,Billings,US,71.96,45.79,-108.5,30,20,8.05
539,Lithgow,AU,78.8,-33.48,150.16,31,0,14.99
540,Upata,VE,68.91,8.02,-62.41,99,68,2.75
541,Cockburn Town,TC,83.22,21.46,-71.14,97,0,10.13
